Type,Fruit/Veg,Family
Annual herb,Herb,Herb
Apple,Fruit,Tree
Apricot Tree,Fruit,Tree
Asparagus,Veg,Asparagus
Aubergine,Veg,pepper
Basil,Herb,Herb
Beetroot,Veg,Root
Blackberries,Fruit,Berry
Blueberry,Fruit,Berry
Broad Bean,Veg,legume
Broccoli,Veg,brassica
Brussels Sprouts,Veg,brassica
Bulbing onion,Veg,allium
Cabbage,Veg,brassica
Calabrese,Veg,brassica
Calibrachoa,Flower,
Carrot,Veg,Root
Cauliflower,Veg,brassica
Celariac,Veg,Root
Celery,Veg,Root
Chard & Perpetual Spinach,Veg,Beet leaf greens
Chives ,Herb,Herb
Christmas potato,Veg,Root
Claytonia,Veg,salad leaves
Clematis,Flower,
Collard,Veg,brassica
Corriander ,Herb,Herb
Courgette,Veg,cucurbits
Cucamelon,Veg,cucurbits
Cucumber,"Veg,Fruit",cucurbits
Cumin,Herb,Herb
Currants,Fruit,Berry
Dill,Herb,Herb
Elephant Garlic,Veg,allium
Euryops,Flower,
Felicia,Flower,
Fennel,Veg,Root
Field Beans and bean tips,Veg,legume
First early potato,Veg,Root
French Bean,Veg,legume
Garlic,Veg,allium
Gherkin,Veg,cucurbits
Ginger,Veg,Root
Gogiberries,Fruit,Berry
Gooseberries,Fruit,Berry
Grapes,Fruit,Grapes
Green Garlic,Veg,allium
Guava berry,Fruit,Berry
Honey Berries,Fruit,Berry
Inca berry (Cape-gooseberry),Fruit,Berry
Indoor (bush) tomato,"Veg,Fruit",tomato
Indoor (cordon) tomato,"Veg,Fruit",tomato
Kale,Veg,brassica
Kale (Perennial),Veg,brassica
Kalettes,Veg,brassica
Kohl Rabi,Veg,cucurbits
Lambs Lettuce (Corn Salad),Veg,salad leaves
Leek,Veg,allium
Lettuce,Veg,salad leaves
Loganberries,Fruit,Berry
Main-crop potato,Veg,Root
Mangetout,Veg,legume
Melon,Fruit,cucurbits
Microgreen,Veg,salad leaves
Mustard,Veg,salad leaves
Nectarine,Fruit,Tree
Oca,Veg,Root
Onion (main crop),Veg,allium
Onion (over-wintered/Japanese),Veg,allium
Oregano,Herb,Herb
Osteospermum,Flower,
Outdoor (bush) tomato,"Veg,Fruit",tomato
Outdoor (cordon) tomato,"Veg,Fruit",tomato
Pak Choi,Veg,Asian greens
Parsley,Herb,Herb
Parsnip,Veg,Root
Pea,Veg,legume
Pea shoots,Veg,legume
Pear,Fruit,Tree
Pepper (hot/chili),"Veg,Fruit",pepper
Pepper (Sweet),Veg,pepper
Perennial herb,Herb,Herb
Plum,Fruit,Tree
Potato,Veg,Root
Purple Sprouting Broccoli,Veg,brassica
Purslane,Veg,salad leaves
Radicchio,Veg,salad leaves
Radish,Veg,Root
Raspberries,Fruit,Berry
Rhubarb,Fruit,Tree
Rocket,Veg,salad leaves
Rosemary,Herb,Herb
Runner Beans,Veg,legume
Sage,Herb,Herb
Salad Onion or scallion,Veg,allium
Salsify,Veg,Root
Second-early potato,Veg,Root
Shallot,Veg,allium
Sorrel,Veg,Herb
Spinach,Veg,Stir fry green
Strawberries,Fruit,Berry
Strawberries (ever bearing),Fruit,Berry
Summer Leek,Veg,allium
Summer Spinach,Veg,"salad leaves,Stir fry green"
Summer squash,Veg,cucurbits
Sunflower,Flower,Seed
Swede,Veg,Root
Sweet Cherry,Fruit,Tree
Sweet potato,Veg,Root
Sweetcorn,Veg,Corn
Tayberry,Fruit,Berry
Thyme,Herb,Herb
Tomato,"Veg,Fruit",tomato
Tree cabbage,Veg,brassica
Turnip,Veg,Root
Turnip Greens,Veg,Stir fry green
Viola,Flower,
Welsh onion,Herb,Herb
Winter Squash,Veg,cucurbits
Yacon,Veg,Root
